Handle,Title,Project,Address,Latitude,Longitude,Owner,Users,Investors,Construction companies,Energy companies,Current H100 equivalents,Current power (MW),Current total capital cost (2025 USD billions)
Amazon Canton Mississippi,Amazon Madison Mega Site,Project Rainier #speculative,"Amazon Data Services Inc, Madison Mega Site Nissan Parkway and Highway 22 Canton, Mississippi Madison County","32°35'25""N","90°05'35""W",Amazon #confident,Anthropic #speculative,,,,214348.14354550533,341,10.894283791
Amazon Ridgeland Mississippi,Amazon Ridgeland,Project Rainier #speculative,"1626 County Line Road Ridgeland, Mississippi","32°24'00""N","90°12'12""W",Amazon #confident,Anthropic #speculative,,,Entergy,0,0,0
Anthropic-Amazon Project Rainier New Carlisle Indiana,Anthropic-Amazon New Carlisle,Project Rainier #confident,"55001 Larrison Blvd, New Carlisle, IN 46552","41°41'36""N","86°27'39""W",Amazon #confident,Anthropic #confident,,,,471565.91580011166,751,23.967424344999998
Crusoe Goodnight Texas,Goodnight,,"10001 Lima Rd, Claude, TX 79019","35°01'01""N"," 101°18'43""W",,Google DeepMind #speculative,,"Crusoe,Hoffman",Serena,,,
Google Pryor Oklahoma,Google Pryor,,"4581 Webb St, Pryor, OK 74361","36°14'28""N","95°19'50""W",Google Cloud #confident,Google DeepMind #likely,,,,62850.85929174836,195,6.210991749
Google New Albany Ohio,Google New Albany,,"1101 Beech Rd SW, New Albany, OH 43054","40°03'40""N","82°45'51""W",Google Cloud #confident,Google DeepMind #likely,,,,235425.9073825735,543,17.34056305
Google Omaha Nebraska,Google Omaha,,"11110 State St, Omaha, NE 68142","41°20'15""N","96°05'09""W",Google Cloud #confident,Google DeepMind #likely,,,,109880.48057318594,189,6.049033625
Meta Hyperion Holly Ridge Louisiana,Meta Hyperion,Hyperion #confident,"Holly Ridge, LA 71269","32°30'12""N","91°38'08""W",Meta #confident,Meta #confident,,Mortenson,Entergy,0,0,0
Meta Prometheus New Albany Ohio,Meta Prometheus,Prometheus #confident,"1 Community Cir, New Albany, OH 43054","40°04'05""N","82°45'00""W",Meta #confident,Meta #confident,,,"Williams,American Electric Power",502625.46371206775,691,22.060000000000002
Microsoft Fairwater Fayetteville Georgia,Microsoft Fairwater Atlanta,Microsoft AI WAN #confident,"1435 Hwy 54 W, Fayetteville, GA 30214","33°26'55""N","84°31'20""W",Microsoft #confident,OpenAI #speculative,,,Georgia Power,531160.711498191,615,16.84
Microsoft Fairwater Mount Pleasant Wisconsin,Microsoft Fairwater Wisconsin,Microsoft AI WAN #confident,"4800 90th St, Mount Pleasant, WI 53403","42°40'28""N","87°53'42""W",Microsoft #confident,"OpenAI #likely, Microsoft #likely",,,WE Energies,0,0,0
OpenAI-Oracle Stargate Abilene Texas,OpenAI Stargate Abilene,Stargate #confident,"5502 Spinks Rd, Abilene, TX 79601","32°29'59""N ","99°47'02""W",Oracle #confident,OpenAI #confident,"Softbank,OpenAI,Oracle","Crusoe,Mortenson",American Electric Power,254674.07781707932,295,8
xAI Colossus 1 Memphis Tennessee,xAI Colossus 1,,"3231 Riverport Rd, Memphis, TN 38109","35°03'35""N","90°09'23""W",xAI #confident,xAI #confident,,,MLGW,275795.85649317835,498,15.12
xAI Colossus 2 Memphis Tennessee,xAI Colossus 2,,"5420 Tulane Rd, Memphis, TN 38109","34°59'45""N","90°02'05""W",xAI #confident,xAI #confident,,,,353507.9642676225,351,11.202850717
Alibaba Zhangbei Zhangjiakou Hebei,Alibaba Zhangbei,,"Alibaba Zhangbei Yun Calculation Data Center, Zhangbei County, Zhangjiakou, Hebei, China, 076471","41°11'6.6732""N","114°42'1.6272""E",Alibaba #confident,Alibaba #likely,,,,154691.9804593229,432,13.781084499
OpenAI-Oracle Stargate Abu Dhabi,OpenAI Stargate UAE,Stargate #confident,"Nexus L&T Project Office, Al Bihouth, Al Dhafrah, Abu Dhabi, United Arab Emirates","24°9'15""N","54°26'39""E",G42 #likely,OpenAI #confident,"Softbank,Oracle,NVIDIA,Cisco,G42",Khazna,,0,0,0
Coreweave Helios Afton Texas,Coreweave Helios,,"984 County Road 112, Afton, TX 79920","33°46'27""N","100°52'08""W",Coreweave #confident,Microsoft #speculative,,Galaxy,,0,0,0
Google Cedar Rapids Iowa,Google Cedar Rapids,,"5800 EDGEWOOD RD SW CEDAR RAPIDS, IA 52404","41°54'55""N"," 91°43'14""W",Google Cloud #confident,Google DeepMind #likely,,,,0,0,0
